epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.09487106623961533,-2.355236506685988,19.254838170506822,-1.4987607549995074,0.6652392969288363,0.5012157441920971,136.5852185915787,1.4996957336438788,7.492414328104799e-05,0.0006063889059540331,0.9950146229754396,0.00306318308583631,4.705569392600329,0.9969008168965902,4.705583509473933,0.996900975259003
0.0001,0.09496171933628353,-2.3542814229444287,19.227295789671725,-1.498751344882922,0.66524213014176,0.5019358546713278,136.58665092429044,1.4996909140679198,7.492383532208819e-05,0.000604070373328804,0.9950122586746906,0.0030602516144995276,4.710051808500919,0.9968998805222532,4.710065939533474,0.9969000385077414
0.0001,0.09505245905560983,-2.3533263392028694,19.199792978583353,-1.4987419134157904,0.6652449652833593,0.5026569966785962,136.58808325239414,1.4996860840656148,7.492352651413077e-05,0.0006017492675815254,0.9950098764740779,0.003057322893568339,4.714538490007508,0.9968989340216179,4.714552635211472,0.9968990916310774
0.0001,0.0951432854803657,-2.3523712554613097,19.17232968053795,-1.4987324605320351,0.6652478023645029,0.5033791716850177,136.5895155758798,1.4996812436025457,7.492321685467949e-05,0.000599425576145458,0.9950074763330883,0.003054396920391141,4.719029441129647,0.9968979773728237,4.719043600517494,0.9968981346071484
0.0001,0.0952341986934016,-2.35141617171975,19.144905838913466,-1.498722986165396,0.6652506413960864,0.5041023811637813,136.59094789473738,1.4996763926442056,7.49229063412316e-05,0.0005970992864216091,0.9950050582110839,0.0030514736923187053,4.723524665880474,0.9968970105539415,4.723538839464682,0.9968971674140232
0.0001,0.0953251987776472,-2.35046108797819,19.11752139716945,-1.4987134902494281,0.665253482389032,0.5048266265901528,136.59238020895685,1.499671531155997,7.49225949712778e-05,0.0005947703857788283,0.9950026220673012,0.003048553206704151,4.728024168276694,0.9968960335429735,4.728038356069762,0.9968961900297018
0.0001,0.09541628581611142,-2.3495060042366305,19.090176298846902,-1.4987039727175064,0.6652563253542891,0.5055519094414781,136.59381251852818,1.4996666591032326,7.492228274230147e-05,0.0005924388615633903,0.9950001678608529,0.003045635460902964,4.732527952338602,0.9968950463178526,4.732542154353039,0.9968952024321149
0.0001,0.09550745989188247,-2.3485509204950707,19.062870487568187,-1.4986944335028212,0.6652591703028338,0.5062782311971847,136.59524482344122,1.4996617764511349,7.492196965177997e-05,0.0005901047010818919,0.9949976955507253,0.0030427204522729804,4.737036022090075,0.9968940488564425,4.737050238338409,0.9968942045991244
0.0001,0.09559872108812796,-2.3475958367535115,19.035603907036908,-1.4986848725383795,0.6652620172456691,0.5070055933387855,136.59667712368585,1.4996568831648354,7.49216556971831e-05,0.0005877678916205233,0.9949952050957797,0.003039808178174388,4.741548381558589,0.9968930411365376,4.741562612053352,0.9968931965085224
0.0001,0.09569006948809507,-2.3466407530119517,19.008376501037745,-1.498675289757002,0.6652648661938253,0.5077339973498822,136.5981094192519,1.4996519792093752,7.492134087597492e-05,0.0005854284204225255,0.9949926964547503,0.0030368986359697306,4.746065034775203,0.9968920231358627,4.746079279528944,0.9968921781380314
0.0001,0.09578150517511033,-2.3456856692703925,18.981188213436454,-1.4986656850913278,0.6652677171583598,0.5084634447161657,136.59954171012913,1.499647064549704,7.492102518561132e-05,0.0005830862747175463,0.9949901695862461,0.00303399182302389,4.750585985774564,0.9968909948320726,4.750600244799847,0.9968911494653044
0.0001,0.09587302823258012,-2.3447305855288327,18.95403898817959,-1.498656058473807,0.6652705701503571,0.5091939369254228,136.60097399630735,1.49964213915068,7.492070862354266e-05,0.0005807414416871373,0.9949876244487484,0.003031087736704103,4.755111238594926,0.9968899562027521,4.755125511904329,0.9968901104679242
0.0001,0.09596463874399035,-2.343775501787273,18.92692876929454,-1.4986464098367054,0.6652734251809292,0.509925475467535,136.60240627777623,1.49963720297707,7.492039118721162e-05,0.0005783939084946024,0.9949850610006119,0.0030281863743799454,4.759640797278139,0.9968889072254161,4.759655084884248,0.9968890611234034
0.0001,0.09605633679290675,-2.3428204180457133,18.89985750088932,-1.4986367391121025,0.6652762822612155,0.5106580618344838,136.60383855452548,1.4996322559935484,7.492007287405441e-05,0.0005760436622657183,0.9949824792000632,0.003025287733423335,4.764174665869642,0.9968878478775088,4.7641889677850635,0.9968880014091841
0.0001,0.0961481224629749,-2.3418653343041536,18.872825127152474,-1.4986270462318896,0.6652791414023829,0.5113916975203534,136.6052708265448,1.499627298164698,7.49197536815e-05,0.0005736906901011856,0.9949798790052018,0.0030223918112085276,4.768712848418492,0.9968867781364043,4.768727164655839,0.9968869313026383
